identificador(entero);fecha_ini(fecha);afecha_fin(fecha)
"122";"02/02/2014";"02/03/2014";
"123";"03/02/2014";"03/03/2014";
"124";"04/03/2014";"04/04/2014";
"125";"06/04/2014";"06/05/2014";
"126";"12/09/2014";"12/09/2014";
"127";"24/08/2014";"24/09/2014";
"128";"30/08/2014";"30/09/2014";
"129";"22/05/2014";"22/06/2014";
"220";"13/07/2014";"13/08/2014";
"221";"05/02/2014";"05/03/2014";
"222";"12/01/2014";"12/02/2014";
"223";"01/05/2014";"01/06/2014";
"224";"23/02/2014";"23/03/2014";
"225";"11/10/2014";"11/11/2014";
"226";"27/11/2014";"27/12/2014";
"227";"28/03/2014";"28/04/2014";
"228";"24/04/2014";"24/04/2014";
"229";"25/04/2014";"25/04/2014";
